aaa_aaa_aaa_aaa_aaa_aaa_aaa_<color=#34689c>Bakoné</color>_<i><color=#34689c>[Kerith, il giovane medico, mi era parso sin da subito molto legato sia a Rhina che a Uldon. Poteva essere una figura chiave in questa storia.]</color></i>
aaa_aaa_Lynn-Smiling+_aaa_Bakoné-Standard_aaa_aaa_<color=#e8dd10>Lynn</color>_Ha già conosciuto Kerith? È un così bravo ragazzo, vero?
aaa_aaa_Lynn-Smiling_aaa_Bakoné-Standard+_aaa_aaa_<color=#34689c>Bakoné</color>_Temo che la nostra conoscenza sia ancora troppo superficiale per poter giudicare, ma sembrava effettivamente molto preoccupato per l'accaduto.
aaa_aaa_Lynn-Standard+_aaa_Bakoné-Standard_aaa_aaa_<color=#e8dd10>Lynn</color>_Ci conosciamo sin da quando eravamo bambini, sono abbastanza sicura che fosse più preoccupato per Uldon e Rhina piuttosto che per il Cuscino!
aaa_aaa_Lynn-Standard_aaa_Bakoné-Standard_aaa_aaa_<color=#34689c>Bakoné</color>_Non è un individuo religioso, deduco?
aaa_aaa_Lynn-Concerned+_aaa_Bakoné-Standard_aaa_aaa_<color=#e8dd10>Lynn</color>_Lo era, prima dell'<color=red>incidente</color>…
aaa_aaa_Lynn-Concerned_aaa_Bakoné-Surprised+_aaa_aaa_<color=#34689c>Bakoné</color>_L'<color=red>incidente</color>?
aaa_aaa_Lynn-Concerned+_aaa_Bakoné-Surprised_aaa_aaa_<color=#e8dd10>Lynn</color>_Beh, qualche anno fa…
aaa_aaa_Lynn-Concerned+_aaa_Bakoné-Surprised_aaa_aaa_<color=#e8dd10>Lynn</color>_No, lasci perdere. È una faccenda personale, non sarebbe giusto sbandierare ai quattro venti la sua storia senza il suo permesso.
aaa_aaa_Lynn-Concerned_aaa_Bakoné-Surprised+_aaa_aaa_<color=#34689c>Bakoné</color>_<i><color=#34689c>[Sin da subito fui incuriosito: Lynn non sembrava certo il tipo di persona da farsi remore per un paio di gossip, il suo essere così restia era piuttosto eloquente.]</color></i>
aaa_aaa_Lynn-Concerned_aaa_Bakoné-Surprised+_aaa_aaa_<color=#34689c>Bakoné</color>_<i><color=#34689c>[Nonostante ciò, ritenni d'uopo evitare ulteriori indagini sull'argomento, almeno per quella sera.]</color></i>
aaa_aaa_Lynn-Concerned_aaa_Bakoné-Standard+_aaa_aaa_<color=#34689c>Bakoné</color>_Non si preoccupi, è naturale preoccuparsi dei propri amici. Se non pensa sia il caso di parlarne, non voglio forzarla.
aaa_aaa_Lynn-Relieved+_aaa_Bakoné-Standard_aaa_aaa_<color=#e8dd10>Lynn</color>_La ringrazio Detective. Spero possa capire, nonostante siano passati anni è ancora un argomento pungente per Kerith.
aaa_aaa_Lynn-Relieved+_aaa_Bakoné-Standard_aaa_aaa_<color=#e8dd10>Lynn</color>_Può provare a parlarne con lui, magari è disposto a raccontarle l'accaduto.
aaa_aaa_Lynn-Relieved+_aaa_Bakoné-Standard_aaa_aaa_<color=#e8dd10>Lynn</color>_Non dica che sono stata io a menzionare la cosa, però!
