 _ _ _ _ _ _ _Lynn_Cosa ne pensa, Detective? Le piace la nostra zuppa tradizionale?
 _ _ _ _ _ _ _Bakoné_Devo ammettere che aveva ragione, il sapore è davvero unico!
 _ _ _ _ _ _ _Bakoné_Le spezie si sposano alla perfezione con la carne, quando mi ha elencato gli ingredienti non mi aspettavo una resa così eccellente.
 _ _ _ _ _ _ _Lynn_È una ricetta speciale! Qui in città tutti gli anziani la tramandano ai più giovani da generazioni.
 _ _ _ _ _ _ _Lynn_Mia madre, pace all'anima sua, diceva sempre che questa zuppa è usata da tutta la città ma che la prima ad averla cucinata è stata una nostra trisavola.
 _ _ _ _ _ _ _Lynn_Era una donna molto orgogliosa, sa? Nonostante tutto quello che ha vissuto, lei e mio padre non si sono mai arresi.
 _ _ _ _ _ _ _ _<i><color=blue>[Era chiaro che si riferisse alla guerra. Sleeper's Burrow si trova particolarmente vicina al confine, è difficile anche solo concepire ciò che hanno dovuto passare per chiunque non abbia vissuto la tortura di vivere di fianco ai campi di battaglia.]</color></i>
 _ _ _ _ _ _ _ _<i><color=blue>[Ho pensato fosse meglio non rivangare troppo il passato, non volevo dare una nota amara a una cena già così saporita.]</color></i>
 _ _ _ _ _ _ _Bakoné_Lynn, qual è il vostro punto di vista su quanto accaduto quest'oggi?
 _ _ _ _ _ _ _Lynn_È una tragedia! Abbiamo perso una reliquia sacra, non so come Uldon si regga ancora in piedi
 _ _ _ _ _ _ _Lynn_Quando l'ho scoperto, ho temuto che gli fosse venuto un infarto… Sa, è sempre stato cagionevole di salute e sicuramente la scomparsa non ha fatto altro che peggiorare le cose.
 _ _ _ _ _ _ _Bakoné_Ha menzionato prima il fatto che anche i suoi clienti sono andati via, dopo aver scoperto quanto successo?
 _ _ _ _ _ _ _Lynn_Sì, di solito le persone che si fermano a dormire sono fedeli che vengono in città per vedere il Cuscino della Dea. Alcuni sono andati via perché non possono vederlo, ma altri sono stati genuinamente spaventati dall'accaduto.
 _ _ _ _ _ _ _Bakoné_Pensavano che potesse succedere qualcosa anche a loro?
 _ _ _ _ _ _ _Lynn_Esatto. Una persona che osa rubare il Cuscino della Dea non può essere qualcuno di raccomandabile, anche io ho avuto paura che qualche estraneo pericoloso potesse entrare nella Locanda per tutto il giorno…
 _ _ _ _ _ _ _Bakoné_Non si preoccupi, mia cara. Adesso sono qui io, dubito che il colpevole abbia desiderio di incontrarmi.
 _ _ _ _ _ _ _Lynn_Vero anche questo, spero che basti a scoraggarlo…
 _ _ _ _ _ _ _Bakoné_Nasconde reliquie sacre, in questa Locanda?
 _ _ _ _ _ _ _Lynn_Non che io sappia!
 _ _ _ _ _ _ _Bakoné_Allora non credo correremo alcun pericolo, miss Lynn.
